student_id,name,gender,age,grade_level,parental_education,study_hours_per_week,attendance_rate,internet_access,extracurricular_activities,test_prep_course,sleep_hours,previous_score,math_score,science_score,english_score,final_score,passed,risk_level,stem_average,overall_subject_avg,study_attendance_index,score_delta
STU10016,Ishaan Dubey,Female,16,Grade 11,High School,4.7,63.0,Yes,No,Completed,7.1,35.0,28.0,39.0,29.0,34.7,No,High,33.5,32.0,2.96,-0.3
STU10017,Siddharth Dhawan,Female,17,Grade 10,High School,24.0,89.2,Yes,Yes,Not Completed,7.5,59.4,68.0,55.0,55.0,62.5,Yes,Medium,61.5,59.3,21.41,3.1
STU10018,Dev Gupta,Male,18,Grade 11,Bachelor's Degree,2.7,64.4,Yes,Yes,Not Completed,7.5,41.9,33.0,40.0,28.0,31.6,No,High,36.5,33.7,1.74,-10.3
STU10019,Vikram Agarwal,Male,16,Grade 12,High School,2.0,75.3,Yes,No,Not Completed,6.5,35.0,34.0,38.0,34.0,30.2,No,High,36.0,35.3,1.51,-4.8
STU10020,Shreya Sheikh,Male,16,Grade 11,Associate Degree,15.1,84.7,No,Yes,Completed,7.3,57.0,53.0,52.0,51.0,57.1,Yes,Medium,52.5,52.0,12.79,0.1
STU10021,Kabir Iyer,Male,19,Grade 11,High School,13.0,92.7,Yes,No,Not Completed,8.0,41.3,31.0,35.0,47.0,46.7,No,High,33.0,37.7,12.05,5.4
STU10022,Kritika Sheikh,Male,16,Grade 10,Bachelor's Degree,6.1,70.8,No,Yes,Completed,7.4,46.8,45.0,50.0,40.0,54.8,Yes,High,47.5,45.0,4.32,8.0
STU10023,Kartik Ghosh,Female,15,Grade 10,Some College,14.6,84.0,Yes,No,Completed,7.0,65.1,71.0,60.0,64.0,67.8,Yes,Medium,65.5,65.0,12.26,2.7
STU10024,Diya Mehta,Male,19,Grade 10,High School,12.5,91.0,Yes,Yes,Completed,7.3,67.7,70.0,65.0,65.0,63.5,Yes,Medium,67.5,66.7,11.38,-4.2
STU10025,Siddharth Jain,Male,19,Grade 11,High School,5.3,65.9,No,Yes,Completed,7.8,35.4,37.0,35.0,40.0,40.6,No,High,36.0,37.3,3.49,5.2
STU10026,Neha Sharma,Female,19,Grade 11,Associate Degree,8.2,54.7,No,Yes,Completed,9.4,37.1,29.0,32.0,28.0,29.0,No,High,30.5,29.7,4.49,-8.1
STU10027,Deepika Rao,Female,17,Grade 11,Associate Degree,2.1,75.6,No,No,Completed,8.6,41.5,37.0,42.0,33.0,41.2,No,High,39.5,37.3,1.59,-0.3
STU10028,Ishaan Pillai,Female,17,Grade 12,Bachelor's Degree,7.5,78.1,No,No,Not Completed,7.0,44.1,39.0,47.0,36.0,42.4,No,High,43.0,40.7,5.86,-1.7
STU10029,Riya Chopra,Female,17,Grade 12,Master's Degree,3.3,91.9,Yes,No,Not Completed,6.7,51.1,57.0,57.0,50.0,52.8,Yes,High,57.0,54.7,3.03,1.7
STU10030,Kartik Sen,Female,16,Grade 11,High School,6.8,80.3,Yes,Yes,Not Completed,5.7,35.0,31.0,39.0,43.0,40.0,No,High,35.0,37.7,5.46,5.0
STU10031,Ishaan Dubey,Female,19,Grade 11,Some College,13.1,84.0,Yes,No,Not Completed,7.9,58.4,45.0,56.0,56.0,48.9,No,High,50.5,52.3,11.0,-9.5
STU10032,Shreya Patel,Female,17,Grade 11,Some College,10.3,92.0,Yes,Yes,Completed,6.9,52.8,46.0,43.0,62.0,52.0,Yes,High,44.5,50.3,9.48,-0.8
STU10033,Kavya Singh,Female,19,Grade 10,High School,10.4,79.2,Yes,Yes,Completed,6.3,66.4,61.0,60.0,51.0,61.8,Yes,Medium,60.5,57.3,8.24,-4.6
STU10034,Sneha Ghosh,Female,19,Grade 10,Bachelor's Degree,4.3,74.9,Yes,Yes,Completed,6.3,44.4,54.0,49.0,43.0,56.3,Yes,Medium,51.5,48.7,3.22,11.9
STU10035,Kabir Das,Female,17,Grade 12,High School,23.9,89.9,Yes,Yes,Completed,6.3,72.3,70.0,68.0,68.0,67.3,Yes,Medium,69.0,68.7,21.49,-5.0
STU10036,Suresh Menon,Female,19,Grade 12,High School,5.4,84.1,Yes,Yes,Not Completed,6.7,35.0,29.0,39.0,37.0,33.9,No,High,34.0,35.0,4.54,-1.1
STU10037,Gaurav Banerjee,Male,18,Grade 12,Master's Degree,20.9,92.6,Yes,Yes,Completed,5.9,70.3,72.0,60.0,69.0,79.0,Yes,Low,66.0,67.0,19.35,8.7
STU10038,Deepika Khan,Male,19,Grade 11,High School,2.7,68.2,Yes,Yes,Not Completed,7.6,35.0,36.0,30.0,34.0,34.9,No,High,33.0,33.3,1.84,-0.1
STU10039,Meera Iyer,Female,15,Grade 11,Associate Degree,7.4,86.1,Yes,Yes,Completed,6.6,54.4,58.0,51.0,60.0,54.8,Yes,High,54.5,56.3,6.37,0.4
STU10040,Priya Dutta,Female,19,Grade 10,Some College,2.0,70.7,Yes,No,Not Completed,5.4,40.5,41.0,36.0,43.0,50.6,Yes,High,38.5,40.0,1.41,10.1
STU10041,Aarav Reddy,Female,16,Grade 10,Bachelor's Degree,5.9,66.4,Yes,No,Completed,7.4,57.5,52.0,53.0,52.0,56.3,Yes,Medium,52.5,52.3,3.92,-1.2
STU10042,Rohan Rao,Female,19,Grade 10,Associate Degree,13.1,65.9,No,Yes,Not Completed,7.7,43.5,43.0,34.0,56.0,45.0,No,High,38.5,44.3,8.63,1.5
STU10043,Simran Ghosh,Female,19,Grade 10,High School,18.8,82.4,Yes,No,Not Completed,5.7,54.9,58.0,71.0,56.0,59.8,Yes,Medium,64.5,61.7,15.49,4.9
STU10044,Sanjay Bose,Male,16,Grade 11,Some College,7.3,99.0,Yes,No,Not Completed,6.7,40.9,37.0,38.0,28.0,39.1,No,High,37.5,34.3,7.23,-1.8
STU10045,Manav Banerjee,Female,15,Grade 12,Master's Degree,13.8,84.4,Yes,Yes,Completed,7.6,68.1,66.0,61.0,66.0,61.5,Yes,Medium,63.5,64.3,11.65,-6.6
STU10046,Tara Pandey,Male,18,Grade 11,Bachelor's Degree,11.3,96.6,Yes,Yes,Not Completed,8.4,46.4,42.0,42.0,36.0,40.9,No,High,42.0,40.0,10.92,-5.5
STU10047,Sanjay Singh,Female,15,Grade 11,Associate Degree,6.4,82.8,Yes,No,Completed,7.0,54.3,51.0,56.0,46.0,51.4,Yes,High,53.5,51.0,5.3,-2.9
STU10048,Sanjay Rao,Female,16,Grade 10,High School,6.9,80.5,Yes,Yes,Not Completed,7.4,35.0,40.0,33.0,30.0,42.0,No,High,36.5,34.3,5.55,7.0
STU10049,Aditya Dubey,Male,16,Grade 11,Some College,15.3,49.4,Yes,No,Not Completed,4.6,48.0,45.0,44.0,54.0,55.0,Yes,Medium,44.5,47.7,7.56,7.0
STU10050,Riya Dhawan,Male,16,Grade 10,Some College,11.3,72.0,No,Yes,Not Completed,7.4,35.0,40.0,37.0,35.0,43.5,No,High,38.5,37.3,8.14,8.5
STU10051,Harsh Shukla,Female,15,Grade 12,Associate Degree,4.2,80.6,Yes,No,Completed,4.4,41.6,44.0,30.0,35.0,45.0,No,High,37.0,36.3,3.39,3.4
STU10052,Varun Sharma,Female,16,Grade 10,Some College,4.6,92.0,Yes,Yes,Completed,6.4,53.0,68.0,51.0,58.0,58.1,Yes,Medium,59.5,59.0,4.23,5.1
STU10053,Manav Ghosh,Male,16,Grade 11,High School,8.7,95.0,Yes,No,Completed,6.6,45.1,51.0,35.0,42.0,50.7,Yes,High,43.0,42.7,8.26,5.6
STU10054,Ananya Mehta,Male,15,Grade 11,Bachelor's Degree,8.5,77.4,Yes,Yes,Not Completed,7.5,50.0,49.0,40.0,42.0,50.1,Yes,High,44.5,43.7,6.58,0.1
STU10055,Rahul Pillai,Male,18,Grade 12,Master's Degree,14.1,94.5,Yes,No,Completed,7.6,70.4,68.0,71.0,56.0,64.1,Yes,Medium,69.5,65.0,13.32,-6.3
STU10056,Sanjay Shukla,Male,16,Grade 10,Associate Degree,13.5,63.9,Yes,No,Not Completed,6.4,56.0,69.0,52.0,51.0,63.4,Yes,Medium,60.5,57.3,8.63,7.4
STU10057,Aryan Agarwal,Female,19,Grade 12,Some College,4.6,93.7,Yes,Yes,Not Completed,5.8,35.0,25.0,26.0,38.0,32.9,No,High,25.5,29.7,4.31,-2.1
STU10058,Varun Singh,Male,15,Grade 10,Bachelor's Degree,4.8,94.4,Yes,No,Not Completed,7.3,65.0,57.0,59.0,59.0,57.7,Yes,Medium,58.0,58.3,4.53,-7.3
STU10059,Kritika Das,Female,15,Grade 12,Bachelor's Degree,5.9,85.4,Yes,Yes,Not Completed,5.7,44.2,37.0,59.0,48.0,46.1,No,High,48.0,48.0,5.04,1.9
STU10060,Sneha Kapoor,Female,19,Grade 10,Bachelor's Degree,8.7,72.6,Yes,Yes,Completed,7.0,66.1,59.0,66.0,63.0,66.8,Yes,Medium,62.5,62.7,6.32,0.7
STU10061,Swati Iyer,Male,15,Grade 12,Some College,14.6,96.4,Yes,No,Not Completed,7.5,60.2,62.0,62.0,63.0,67.8,Yes,Medium,62.0,62.3,14.07,7.6
STU10062,Kavya Dutta,Female,19,Grade 10,Bachelor's Degree,16.9,89.2,Yes,No,Not Completed,7.2,63.3,51.0,67.0,65.0,70.0,Yes,Medium,59.0,61.0,15.07,6.7
STU10063,Manav Dutta,Male,17,Grade 10,Bachelor's Degree,9.2,63.7,Yes,No,Not Completed,5.4,43.7,39.0,40.0,43.0,34.3,No,High,39.5,40.7,5.86,-9.4
STU10064,Mohit Deshmukh,Female,17,Grade 11,Associate Degree,13.0,89.0,Yes,Yes,Not Completed,6.4,67.0,54.0,50.0,67.0,55.8,Yes,Medium,52.0,57.0,11.57,-11.2
STU10065,Kabir Mishra,Male,17,Grade 10,Associate Degree,14.0,89.5,Yes,No,Not Completed,5.7,62.5,58.0,56.0,56.0,58.6,Yes,Medium,57.0,56.7,12.53,-3.9
STU10066,Aarav Pillai,Female,15,Grade 12,Some College,6.9,84.9,Yes,No,Not Completed,7.7,52.5,51.0,56.0,50.0,59.7,Yes,Medium,53.5,52.3,5.86,7.2
STU10067,Nisha Chopra,Male,16,Grade 11,High School,9.7,86.7,Yes,No,Completed,7.0,52.3,50.0,50.0,46.0,60.8,Yes,Medium,50.0,48.7,8.41,8.5
STU10068,Vikram Iyer,Male,17,Grade 10,Some College,5.9,78.7,Yes,Yes,Not Completed,7.0,35.0,44.0,40.0,32.0,41.8,No,High,42.0,38.7,4.64,6.8
STU10069,Harsh Dubey,Male,19,Grade 12,Some College,4.6,84.3,Yes,No,Not Completed,6.2,38.6,34.0,39.0,32.0,45.6,No,High,36.5,35.0,3.88,7.0
STU10070,Bhavna Sharma,Male,15,Grade 10,Bachelor's Degree,9.6,63.8,No,Yes,Not Completed,9.3,37.2,47.0,37.0,32.0,38.7,No,High,42.0,38.7,6.12,1.5
STU10071,Rahul Krishnan,Female,19,Grade 10,Bachelor's Degree,4.2,45.0,Yes,No,Not Completed,6.9,35.0,37.0,30.0,35.0,38.7,No,High,33.5,34.0,1.89,3.7
STU10072,Simran Saxena,Female,17,Grade 10,Bachelor's Degree,7.4,82.6,Yes,No,Not Completed,8.9,46.5,52.0,45.0,44.0,52.8,Yes,High,48.5,47.0,6.11,6.3
STU10073,Swati Tiwari,Male,17,Grade 10,Some College,12.0,66.3,Yes,No,Completed,7.9,54.0,49.0,41.0,52.0,47.1,No,High,45.0,47.3,7.96,-6.9
STU10074,Sneha Menon,Male,15,Grade 10,Associate Degree,13.6,69.8,Yes,No,Completed,6.5,59.8,56.0,61.0,58.0,52.9,Yes,High,58.5,58.3,9.49,-6.9
STU10075,Tanvi Malhotra,Male,16,Grade 12,Some College,6.8,93.5,Yes,No,Not Completed,7.6,54.7,51.0,56.0,60.0,55.9,Yes,Medium,53.5,55.7,6.36,1.2
STU10076,Harsh Shukla,Male,19,Grade 10,High School,9.7,89.4,Yes,Yes,Not Completed,7.1,35.0,40.0,36.0,40.0,30.4,No,High,38.0,38.7,8.67,-4.6
STU10077,Meera Reddy,Female,19,Grade 10,Some College,4.6,92.4,No,Yes,Not Completed,7.7,46.8,43.0,49.0,39.0,46.8,No,High,46.0,43.7,4.25,0.0
STU10078,Aisha Dutta,Female,18,Grade 10,Associate Degree,20.6,78.7,Yes,Yes,Not Completed,8.8,54.4,54.0,47.0,52.0,53.6,Yes,High,50.5,51.0,16.21,-0.8
STU10079,Rohan Mishra,Male,15,Grade 11,Bachelor's Degree,9.5,97.6,Yes,No,Not Completed,6.0,64.8,60.0,64.0,56.0,56.9,Yes,Medium,62.0,60.0,9.27,-7.9
STU10080,Nisha Iyer,Female,17,Grade 12,Associate Degree,2.6,76.0,Yes,No,Not Completed,6.2,52.2,56.0,48.0,35.0,58.0,Yes,Medium,52.0,46.3,1.98,5.8
STU10081,Manav Roy,Female,16,Grade 10,High School,3.8,45.0,Yes,No,Not Completed,7.8,35.0,36.0,33.0,37.0,35.2,No,High,34.5,35.3,1.71,0.2
STU10082,Riya Bhatt,Female,16,Grade 12,Some College,4.4,91.5,Yes,No,Completed,5.9,50.5,52.0,42.0,49.0,45.0,No,High,47.0,47.7,4.03,-5.5
STU10083,Tanvi Bhatt,Female,17,Grade 10,Bachelor's Degree,8.7,56.0,Yes,No,Not Completed,6.9,48.8,49.0,45.0,49.0,49.4,No,High,47.0,47.7,4.87,0.6
STU10084,Gaurav Nair,Male,15,Grade 11,Some College,3.4,71.0,Yes,No,Not Completed,6.3,37.1,29.0,51.0,28.0,39.4,No,High,40.0,36.0,2.41,2.3
STU10085,Dev Banerjee,Male,17,Grade 11,Bachelor's Degree,6.4,70.3,Yes,Yes,Not Completed,8.8,45.7,43.0,47.0,39.0,38.8,No,High,45.0,43.0,4.5,-6.9
STU10086,Dev Choudhary,Female,16,Grade 11,Bachelor's Degree,2.1,88.9,Yes,Yes,Not Completed,6.4,39.0,33.0,29.0,38.0,33.8,No,High,31.0,33.3,1.87,-5.2
STU10087,Tanvi Dhawan,Female,17,Grade 11,High School,5.5,80.7,Yes,No,Not Completed,9.3,43.0,54.0,40.0,52.0,50.7,Yes,High,47.0,48.7,4.44,7.7
STU10088,Deepika Chopra,Male,19,Grade 11,Master's Degree,5.3,66.7,Yes,No,Completed,8.2,55.4,45.0,52.0,60.0,52.3,Yes,High,48.5,52.3,3.54,-3.1
STU10089,Priya Krishnan,Male,16,Grade 12,Associate Degree,5.0,77.5,Yes,Yes,Completed,7.6,45.9,42.0,45.0,48.0,43.0,No,High,43.5,45.0,3.88,-2.9
STU10090,Rahul Gupta,Female,19,Grade 11,Some College,2.7,85.7,No,Yes,Not Completed,7.1,35.1,40.0,32.0,35.0,40.5,No,High,36.0,35.7,2.31,5.4
STU10091,Nikhil Deshmukh,Male,19,Grade 12,Bachelor's Degree,5.9,91.5,Yes,No,Completed,8.4,73.4,68.0,67.0,74.0,59.6,Yes,Medium,67.5,69.7,5.4,-13.8
STU10092,Meera Jain,Female,17,Grade 10,High School,8.2,84.1,Yes,Yes,Completed,5.7,54.9,63.0,62.0,51.0,66.1,Yes,Medium,62.5,58.7,6.9,11.2
STU10093,Preeti Menon,Female,19,Grade 12,High School,5.7,75.9,Yes,No,Not Completed,6.3,35.0,40.0,37.0,47.0,38.7,No,High,38.5,41.3,4.33,3.7
STU10094,Swati Banerjee,Male,18,Grade 10,Bachelor's Degree,7.0,91.8,Yes,No,Completed,6.4,44.5,38.0,46.0,34.0,43.7,No,High,42.0,39.3,6.43,-0.8
STU10095,Mohit Rao,Male,15,Grade 12,High School,4.3,93.2,Yes,Yes,Completed,7.0,44.5,26.0,45.0,44.0,45.6,No,High,35.5,38.3,4.01,1.1
STU10096,Pooja Chopra,Male,18,Grade 11,Some College,3.9,70.1,No,No,Not Completed,7.0,35.0,36.0,29.0,46.0,39.0,No,High,32.5,37.0,2.73,4.0
STU10097,Zara Saxena,Female,16,Grade 11,High School,9.0,88.6,Yes,No,Not Completed,8.4,43.1,38.0,44.0,37.0,39.7,No,High,41.0,39.7,7.97,-3.4
STU10098,Mohit Jain,Female,19,Grade 12,High School,12.5,70.3,Yes,No,Not Completed,7.5,56.6,49.0,61.0,55.0,55.9,Yes,Medium,55.0,55.0,8.79,-0.7
STU10099,Pooja Sheikh,Female,17,Grade 11,Associate Degree,11.7,79.1,Yes,Yes,Not Completed,6.8,54.2,53.0,49.0,50.0,52.9,Yes,High,51.0,50.7,9.25,-1.3
STU10100,Nisha Menon,Male,18,Grade 11,Associate Degree,7.2,80.8,Yes,No,Not Completed,7.5,50.3,52.0,57.0,49.0,48.8,No,High,54.5,52.7,5.82,-1.5
STU10101,Harsh Agarwal,Male,16,Grade 12,Master's Degree,7.5,81.3,Yes,Yes,Not Completed,5.4,40.1,39.0,52.0,42.0,47.6,No,High,45.5,44.3,6.1,7.5
STU10102,Sneha Saxena,Male,15,Grade 10,Bachelor's Degree,12.6,81.0,No,Yes,Not Completed,6.4,54.5,63.0,56.0,45.0,58.4,Yes,Medium,59.5,54.7,10.21,3.9
STU10103,Swati Mishra,Female,16,Grade 10,Some College,9.2,96.8,Yes,No,Not Completed,5.8,46.5,30.0,49.0,47.0,37.9,No,High,39.5,42.0,8.91,-8.6
STU10104,Priya Gupta,Female,18,Grade 12,Some College,16.3,91.7,Yes,No,Completed,8.7,78.2,89.0,84.0,81.0,86.3,Yes,Low,86.5,84.7,14.95,8.1
STU10105,Vikram Pillai,Male,19,Grade 10,Some College,7.9,77.0,Yes,Yes,Not Completed,6.3,40.3,32.0,33.0,38.0,38.7,No,High,32.5,34.3,6.08,-1.6
STU10106,Preeti Jain,Male,18,Grade 10,Bachelor's Degree,8.8,88.2,Yes,Yes,Not Completed,7.3,45.4,46.0,34.0,37.0,40.5,No,High,40.0,39.0,7.76,-4.9
STU10107,Diya Sharma,Female,18,Grade 10,Associate Degree,11.9,88.4,Yes,Yes,Not Completed,7.0,64.9,73.0,60.0,59.0,67.2,Yes,Medium,66.5,64.0,10.52,2.3
STU10108,Riya Chatterjee,Male,15,Grade 12,Associate Degree,9.8,89.9,No,Yes,Completed,6.0,54.4,63.0,49.0,52.0,57.3,Yes,Medium,56.0,54.7,8.81,2.9
STU10109,Kavya Krishnan,Male,16,Grade 11,Some College,3.9,82.4,Yes,Yes,Completed,7.9,40.5,41.0,30.0,42.0,40.3,No,High,35.5,37.7,3.21,-0.2
STU10110,Mohit Chatterjee,Male,18,Grade 12,Associate Degree,4.8,72.2,Yes,Yes,Not Completed,6.5,38.3,37.0,40.0,48.0,42.4,No,High,38.5,41.7,3.47,4.1
STU10111,Sanjay Chopra,Male,19,Grade 11,Some College,4.8,52.6,Yes,Yes,Not Completed,6.8,38.9,32.0,32.0,34.0,29.7,No,High,32.0,32.7,2.52,-9.2
STU10112,Ishaan Das,Male,17,Grade 10,Bachelor's Degree,3.1,86.5,No,No,Completed,7.6,49.1,41.0,48.0,52.0,44.8,No,High,44.5,47.0,2.68,-4.3
STU10113,Abhinav Dhawan,Male,16,Grade 11,Associate Degree,7.9,92.0,Yes,Yes,Not Completed,9.1,57.2,51.0,64.0,55.0,61.6,Yes,Medium,57.5,56.7,7.27,4.4
STU10114,Harsh Reddy,Male,16,Grade 11,High School,13.1,87.7,Yes,Yes,Completed,7.5,60.2,63.0,57.0,51.0,56.0,Yes,Medium,60.0,57.0,11.49,-4.2
STU10115,Tanvi Deshmukh,Female,16,Grade 10,Bachelor's Degree,8.9,84.6,Yes,No,Completed,6.8,65.7,71.0,82.0,67.0,74.3,Yes,Medium,76.5,73.3,7.53,8.6
STU10116,Dev Jain,Female,16,Grade 10,High School,4.8,64.2,Yes,No,Not Completed,7.4,35.0,25.0,30.0,40.0,35.1,No,High,27.5,31.7,3.08,0.1
STU10117,Manav Bhatt,Male,19,Grade 11,Bachelor's Degree,4.7,83.9,Yes,No,Not Completed,8.1,43.9,45.0,42.0,37.0,45.6,No,High,43.5,41.3,3.94,1.7
STU10118,Manav Singh,Female,18,Grade 11,Associate Degree,14.5,80.5,Yes,No,Not Completed,7.6,43.0,42.0,49.0,33.0,47.0,No,High,45.5,41.3,11.67,4.0
STU10119,Kritika Patel,Male,18,Grade 10,Associate Degree,11.3,76.1,Yes,Yes,Not Completed,4.6,54.3,48.0,52.0,54.0,52.7,Yes,High,50.0,51.3,8.6,-1.6
STU10120,Nikhil Mishra,Male,18,Grade 12,Some College,6.1,76.2,No,Yes,Not Completed,6.4,35.0,34.0,25.0,32.0,27.1,No,High,29.5,30.3,4.65,-7.9
STU10121,Anjali Dubey,Female,18,Grade 10,Some College,11.9,74.1,Yes,Yes,Completed,7.1,61.7,52.0,62.0,65.0,61.0,Yes,Medium,57.0,59.7,8.82,-0.7
STU10122,Simran Menon,Male,15,Grade 11,Bachelor's Degree,11.2,80.2,No,Yes,Not Completed,6.6,56.3,66.0,48.0,59.0,54.8,Yes,High,57.0,57.7,8.98,-1.5
STU10123,Tanvi Sheikh,Female,18,Grade 10,Some College,8.1,82.7,Yes,No,Completed,6.2,45.2,39.0,44.0,41.0,40.9,No,High,41.5,41.3,6.7,-4.3
STU10124,Ritu Dubey,Female,18,Grade 12,Master's Degree,7.0,81.1,Yes,Yes,Completed,6.3,65.3,58.0,67.0,79.0,68.1,Yes,Medium,62.5,68.0,5.68,2.8
STU10125,Akash Patel,Female,18,Grade 10,Some College,7.1,72.8,No,Yes,Not Completed,6.2,35.0,25.0,25.0,35.0,32.9,No,High,25.0,28.3,5.17,-2.1
STU10126,Lavanya Kapoor,Female,17,Grade 11,Associate Degree,12.8,77.1,Yes,Yes,Not Completed,6.3,46.0,42.0,55.0,41.0,49.7,No,High,48.5,46.0,9.87,3.7
STU10127,Karan Agarwal,Male,17,Grade 11,Associate Degree,7.2,97.6,No,No,Not Completed,6.3,50.0,39.0,49.0,48.0,47.3,No,High,44.0,45.3,7.03,-2.7
STU10128,Siddharth Dhawan,Male,17,Grade 10,Some College,26.8,97.0,Yes,No,Not Completed,7.8,81.5,72.0,72.0,72.0,71.5,Yes,Medium,72.0,72.0,26.0,-10.0
STU10129,Aman Patel,Female,17,Grade 10,Bachelor's Degree,16.2,79.8,Yes,No,Not Completed,5.8,56.4,46.0,53.0,52.0,54.5,Yes,High,49.5,50.3,12.93,-1.9
STU10130,Deepika Reddy,Female,15,Grade 10,High School,8.1,83.0,Yes,No,Completed,6.2,62.1,56.0,60.0,53.0,57.5,Yes,Medium,58.0,56.3,6.72,-4.6
STU10131,Aditya Patel,Female,16,Grade 10,Master's Degree,6.0,80.1,Yes,Yes,Not Completed,7.8,47.2,53.0,48.0,45.0,52.4,Yes,High,50.5,48.7,4.81,5.2
STU10132,Aman Krishnan,Female,18,Grade 12,Some College,10.5,45.0,Yes,Yes,Completed,7.3,35.3,27.0,35.0,37.0,36.6,No,High,31.0,33.0,4.72,1.3
STU10133,Rahul Khan,Female,19,Grade 12,High School,2.3,77.4,Yes,Yes,Not Completed,8.0,35.0,29.0,25.0,35.0,33.7,No,High,27.0,29.7,1.78,-1.3
STU10134,Anjali Krishnan,Female,17,Grade 10,Bachelor's Degree,18.7,76.5,No,No,Completed,7.4,64.5,69.0,62.0,51.0,66.7,Yes,Medium,65.5,60.7,14.31,2.2
STU10135,Kritika Patel,Male,19,Grade 12,Some College,11.1,81.3,Yes,No,Not Completed,7.6,48.8,45.0,46.0,46.0,52.1,Yes,High,45.5,45.7,9.02,3.3
STU10136,Siddharth Sheikh,Female,15,Grade 12,Bachelor's Degree,7.3,65.5,Yes,Yes,Completed,6.7,58.1,51.0,50.0,52.0,48.9,No,High,50.5,51.0,4.78,-9.2
STU10137,Gaurav Iyer,Female,17,Grade 12,High School,12.4,76.8,Yes,No,Not Completed,7.4,52.2,49.0,44.0,49.0,45.8,No,High,46.5,47.3,9.52,-6.4
STU10138,Suresh Krishnan,Female,17,Grade 12,Some College,7.1,78.5,Yes,Yes,Not Completed,7.7,41.4,40.0,39.0,35.0,36.7,No,High,39.5,38.0,5.57,-4.7
STU10139,Tara Khan,Female,19,Grade 12,Some College,5.0,72.5,Yes,Yes,Not Completed,7.1,39.5,47.0,29.0,28.0,38.7,No,High,38.0,34.7,3.62,-0.8
STU10140,Tanvi Sharma,Male,18,Grade 10,Associate Degree,5.4,73.2,Yes,Yes,Completed,7.6,44.7,49.0,31.0,43.0,44.4,No,High,40.0,41.0,3.95,-0.3
STU10141,Tara Khan,Male,16,Grade 11,High School,4.4,78.2,Yes,No,Completed,7.9,39.4,33.0,36.0,30.0,32.8,No,High,34.5,33.0,3.44,-6.6
STU10142,Riya Chatterjee,Male,19,Grade 12,Bachelor's Degree,13.4,81.1,Yes,No,Not Completed,7.8,65.4,53.0,67.0,58.0,60.4,Yes,Medium,60.0,59.3,10.87,-5.0
